"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,25-34,"Branding - เปลี่ยนโอากาสพิเศษ",283.65773256,6797,9328,271,208,2,1,4633,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",250.98390465,2378,8454,42,29,26,3,19906,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,35-44,"Branding - เปลี่ยนโอากาสพิเศษ",240.62807652,6567,8983,197,149,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,55-64,"Live - 4 Aug 2026",240.61205137,4145,4494,118,68,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"ผ่อนทอง 0% Aug 2026",227.97747072,5992,9778,192,183,33,5,806025,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"นาคครุฑเสริมบารมี  1-10 Aug",222.39345985,1556,4650,36,29,12,2,10897,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,25-34,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",219.14681702,6235,10187,96,69,12,2,26373,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"ผ่อนทอง 0% Aug 2026",211.49765355,2546,4977,170,143,10,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,65+,"พระประจำวันเกิด 1-31 Aug 26",206.36198281,4200,6045,147,137,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,45-54,"Live - 4 Aug 2026",206.14175749,4802,5146,72,51,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,18-24,"Live - 4 Aug 2026",204.40174265,12817,13957,58,41,5,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี  1-10 Aug",194.48,3435,4862,37,31,5,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"ผ่อนทอง 0% Aug 2026",191.98787,3340,6497,147,128,14,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"พระประจำวันเกิด 1-31 Aug 26",188.81181418,6361,8204,133,121,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",182.02854494,5705,9211,114,103,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,45-54,"Happy Mother Day -  1-12 Aug",181.10823188,1499,4167,66,45,26,3,19747,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,45-54,"Happy Mother Day -  1-12 Aug",180.68330289,2172,3933,82,55,12,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",173.04786572,3960,6694,131,110,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,35-44,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",160.49499253,4014,6520,78,40,7,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,male,45-54,"พระประจำวันเกิด 1-31 Aug 26",159.81153553,4409,6131,106,92,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,18-24,"Live - 4 Aug 2026",155.81132839,9778,10617,36,22,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% Aug 2026",155.55827417,5582,7929,128,114,13,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"นาคครุฑเสริมบารมี  1-10 Aug",147.44229381,950,2369,40,40,11,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"นาคครุฑเสริมบารมี  1-10 Aug",142.14,2686,3643,30,19,6,1,4730,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"นาคครุฑเสริมบารมี  1-10 Aug",129.75,1901,2566,32,32,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,35-44,"Branding - เปลี่ยนโอากาสพิเศษ",125.93572429,3663,5178,73,66,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,45-54,"Branding - เปลี่ยนโอากาสพิเศษ",124.84567474,3514,5152,68,63,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,male,55-64,"พระประจำวันเกิด 1-31 Aug 26",123.52118684,2951,4298,109,87,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"พระประจำวันเกิด 1-31 Aug 26",118.44113803,4138,5526,76,71,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,male,65+,"พระประจำวันเกิด 1-31 Aug 26",112.3910799,2335,3498,91,74,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,25-34,"Branding - เปลี่ยนโอากาสพิเศษ",112.08910401,3709,4633,117,83,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,18-24,"Happy Mother Day -  1-12 Aug",106.06193881,1929,4373,84,71,7,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"นาคครุฑเสริมบารมี  1-10 Aug",105.83,2047,3178,31,21,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",103.43,2332,3404,29,22,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,male,25-34,"Happy Mother Day -  1-12 Aug",100.72184119,2180,4553,29,24,5,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,35-44,"Happy Mother Day -  1-12 Aug",96.47971246,975,3017,15,9,16,5,414048,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"ผ่อนทอง 0% Aug 2026",91.69898265,886,1835,108,90,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"ผ่อนทอง 0% Aug 2026",90.94899097,1198,2400,68,60,4,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",88.63,1918,2769,27,20,5,1,1940,2026-08-04,2026-08-10
