"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,45-54,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,unknown,45-54,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,55-64,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.02,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,unknown,65+,"Branding - เปลี่ยนโอากาสพิเศษ",0.02,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,18-24,"ผ่อนทอง 0% Aug 2026",0.01999951,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"The Memory Gold Laser  13-31 Aug",0.01999934,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,25-34,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,25-34,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.01,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"The Memory Custom Card   13-31 Aug",0.01,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,55-64,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,65+,"Service - ทองแท้ 96.5",0.01,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,18-24,"Service - ทองแท้ 96.5",0.01,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,18-24,"Branding - เปลี่ยนโอากาสพิเศษ",0.01,1,1,,,,,,2026-08-11,2026-08-17
